Date,5/16/2019 (FAST vs Oro Valley Swim Team),6/15/2020 (SAAA Virtual Invitational 2020 Week 1),6/22/2020 (SAAA Virtual Invitational 2020 Week 2),6/29/2020 (SAAA Virtual Invitational 2020 Week 3),10/1/2020,11/4/2020,11/23/2020,12/28/2020,5/6/2021,6/10/2021 (Oro Valley vs La Paloma),6/17/2021 (OV vs TJCC),6/24/2021 (OV vs CR),8/19/2021,9/11/2021 (Fast Patriots Meet),9/17/2021,9/23/2021,10/4/2021,11/3/2021,11/6/2021 (Harvest Splash),11/7/2021 (Harvest Splash),12/3/2021 (Winter Lights Preliminary),12/3/2021 (Winter Lights Finals),12/4/2021 (Winter Lights Preliminary),12/4/2021 (Winter Lights Finals),12/5/2021 (Winter Lights Preliminary),12/5/2021 (Winter Lights Finals),1/8/2022 (Mardi Gras 2022 Invitational),1/9/2022 (Mardi Gras 2022 Invitational),3/2022?,5/11/2022 (Oro Valley Intersquad Meet 2022),5/14/2022 (FAST Mayflower Invitational),6/2/2022 (Oro Valley vs. La Paloma),6/7/2022 (Oro Valley vs. Sabino Vista Hills),6/11/2022 (2022 SAAA 9-18 Invitational),6/23/2022 (Oro Valley vs. FAST),6/30/2022 (Oro Valley vs. Ventana Canyon),7/6/2022 (2022 Catalina League Championship Preliminaries),7/7/2022 (2022 Catalina League Championship Finals) ,9/1/2022 (IRHS vs. Catalina),9/8/2022 (Catalina Foothills vs. IRHS),9/15/2022 (Salpointe vs. IRHS vs. Flowing Wells),9/22/2022 (Walden Grove vs. IRHS vs. Amphi),9/24/2022 (TYR High School Classic),9/29/2022 (IRHS vs. Sahuaro) ,10/16/2022 (October Invitational),10/20/2022 (Pusch Ridge vs. IRHS vs. CDO),10/23/2022 (Pecan Classic Invitational),10/28/2022 (2022 Southern Arizona Regional Qualifier Preliminaries),10/29/2022 (2022 Southern Arizona Regional Qualifier Finals),11/4/2022 (2022 Swim & Dive State Championships),11/30/2022,12/2/2022 (Winter Lights Preliminary),12/2/2022 (Winter Lights Finals),12/17/2022 (December Bonus Meet),12/18/2022 (December Bonus Meet),1/29/2023 (Phil Levine Meet),5/6/2023 (Mayflower Meet),5/11/2023 (Northwest Swim Team vs. Oro Valley),6/3/2023 (Copper Classic 3),6/4/2023 (Copper Classic 3),6/8/2023 (Sabino Vista Hills vs. Oro Valley Swim Team),6/10/2023 (2023 SAAA 9-18 Invitational),6/16/2023 (FAST Oro Valley Open),6/22/2023 (LP vs. OVST),6/27/2023 (OV vs. FAST),6/29/2023 (2023 VC at OV),7/10/2023 (2023 Catalina League Championships Preliminaries),7/11/2023 (2023 Catalina League Championships Finals),8/15/2023,8/31/2023 (Marana High School vs. IRHS vs. Gila Ridge High School),9/7/2023 (IRHS vs. Catalina Foothills),9/10/2023 (FAST Patriot Meet 2023),9/14/2023 (Salpointe vs. IRHS vs. Flowing Wells),9/16/2023 (2023 CDO Classic),9/21/2023 (Walden Grove vs. IRHS vs. ?),9/23/2023 (2023 TYR High School Classic),9/28/2023 (Sahuaro vs. IRHS),10/5/2023 (IRHS vs. Mountain View),10/7/2023,10/15/2023 (October Invitational 2023),10/18/2023 (CDO vs. Pusch Ridge vs. IRHS),10/21/2023 (Pecan Classic 2023),10/25/2023 (2023 SARQ Invite),11/3/2023 (2023 AIA Division 2 State Championship Prelims),11/4/2023 (2023 AIA Division 2 State Championship Finals),12/1/2023 (2023 Fast Winter Lights Day 2 Prelims),12/1/2023 (2023 Fast Winter Lights Day 2 Finals),12/2/2023 (2023 Fast Winter Lights Day 3 Prelims),12/2/2023 (2023 Fast Winter Lights Day 3 Finals),1/18/2024,1/23/2024,1/27/2024 (20th Annual Phil Levine Invitational),1/28/2024 (20th Annual Phil Levine Invitational),2/25/2024 (AZSI 2024 Short Course Regional Championship Preliminaries),2/25/2024 (AZSI 2024 Short Course Regional Championship Finals),4/20/2024,5/4/2024 (FAST Mayflower Invitational),5/5/2024 (FAST Mayflower Invitational),5/23/2024 (Oro Valley vs. La Paloma),6/1/2024 (2024 HACY Summer Solstice),6/2/2024 (2024 HACY Summer Solstice),6/6/2024 (Oro Valley vs. Sabino Vista Hills),6/8/2024 (2024 SAAA 9-18 Invitational),6/15/2024 (FAST Oro Valley Open),6/20/2024 (Oro Valley vs. Tucson Country Club),6/27/2024,6/28/2024 (NWST vs. SWAS vs. OV),7/9/2024 (2024 Catalina League Championships),9/5/2024 (PRCA vs. IRHS),9/8/2024 (FAST Patriot Meet),9/12/2024 (IRHS vs. Marana),9/14/2024 (2024 CDO Classic),9/19/2024 (Walden Grove vs. IRHS),9/27/2024 (IRHS vs. Cholla & Desert View),10/17/2024 (IRHS vs. Cholla & Desert View),10/19/2024 (October Invitational 2024),10/24/2024 (IRHS vs. Tucson High),10/25/2024 (Southern Arizona Regional Qualifer 2024 Preliminaries),10/26/2024 (Southern Arizona Regional Qualifer 2024),11/8/2024 (AIA DII Swim & Dive Championship Prelims),11/9/2024 (AIA DII Swim & Dive Championship Finals),11/15/2024,12/6/2024 (2024 FAST Winter Lights Session 2 Prelims),12/6/2024 (2024 FAST Winter Lights Session 3 Finals),12/7/2024 (2024 FAST Winter Lights Session 4 Prelims),12/7/2024 (2024 FAST Winter Lights Session 5 Finals),2/1/2025 (21st Annual Phil Levine Invitational),2/23/2025 (AZSI 2025 Short Course Regional Champs Sunday Prelims),2/23/2025 (AZSI 2025 Short Course Regional Champs Sunday Finals),3/26/2025 (2025 Kona Senior Spring Invitational Prelims),3/26/2025 (2025 Kona Senior Spring Invitational Finals),3/27/2025 (2025 Kona Senior Spring Invitational Prelims),3/27/2025 (2025 Kona Senior Spring Invitational Finals),3/28/2025 (2025 Kona Senior Spring Invitational Prelims),3/28/2025 (2025 Kona Senior Spring Invitational Finals),3/29/2025 (2025 Kona Senior Spring Invitational Prelims),3/29/2025 (2025 Kona Senior Spring Invitational Finals),5/3/2025 (FAST Mayflower Invitational)
25 Fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.33,,12.40,,,,,,12.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.84,,,,,,,,,,,
25 Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88,,,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28,,,,,,,,,,,
50 Fly,,46.39,43.13,45.19,,37.51,,,,33.98,36.80,34.32,,31.72,,,,,,31.22,,,,,,,,,,28.12,,28.58,,28.35,,27.99,28.90,27.49,,,,,,,...,,,,,,27.3,,,,...,27.58,,26.90,,26.95,,,,,27.50,26.66,27.3,26.63,,,,,,,,,,,26.2,26.65,,,,,,,,,,,,26.70,,,,,,,26.47,,,,...,,26.7,26.5,27.09,26.98,,,,,,,,,,,,,,,,,,,28.15,,,,,,,,,,,
50 Fly (Relay Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03,,,,,26.6,27.8,27.9,27.31,,,,,,,,,,,,,,27.36,,,,,,26.5,26.6,,26.5,26.36,26.25,,26.2,,,,,25.74,25.14,25.22,,,,26.56,,,,,,,,,,,,,,,,,26.6,,,26.2,,,,26.78,,,,,26.56,,26.53,,26.78,,,,,,,...,,,,,,,26.77,,,
50 Back,,51.02,DQ,50.23,,,,,,44.88,,43.78,,,,,,,,40.07,,,,,,,,,,33.75,,34.73,,33.77,34.88,36.02,,,,,,,,,,,,,,,,,,,34.22,,,,,33.98,,,,33.66,,33.02,32.26,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37,,,31.48,,31.66,,,,,,31.02,,,,,,,,,,,31.65,,,,,,,,,,,
50 Breast,,56.63,54.38,57.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.16,,,,,,,,,,...,,,,,,,,,DQ,,,,,,,39.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.24,,,,,,36.9,,,,,,,,36.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 Free,1:17.10,36.15,38.12,37.60,,,,,36,37.01,35.32,35.83,33.4,30.52,31.2,,,30.8,30.90,,,,,,,,31.36,,29,29.01,,28.52,,28.50,28.20,28.17,28.22,,,,,,,,,,27.61,,,,,,,27.51,,,,26.89,28.05,,26.69,26.27,,,26.73,,26.31,26.09,,,,,,,,,26.19,26.22,,,,25.85,25.66,,,,,,,25.0,,,25.21,25.57,,,,,25.53,,,25.69,25.94,,25.59,,25.36,,,,,,25.95,,,,,,,,,25.30,,,,,,26.58,,,,,,,,25.03,,
50 Free (Relay Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03,,,,,,,,,,,,26.70,,,,25.95,,,,,,26.36,26.0?,,,,,,,25.82,,25.43,,,,,,,,,,,,,,,,,,24.7,,,25.7,,,24.80,,,,25.07,,,,,,,,,,,,,,,,,,,24.78,,,,,,24.52,
100 IM,,1:42.81,1:45.81,1:41.21,,,,1:34,,,,,,,,,1:30,,1:21.07,,,,,,,,,,,,,,,1:12.97,,,1:14,1:12.83,,,,,,,,,,,,,,,,,,,,,1:12.60,,1:10.44,1:11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:05.92,,,,,,,,,1:08.?,1:08.43,,,,,1:08.78,,,,,,,,1:09.44,,,,,,,,,,,,,,,,1:04.28,1:03.42,,,,,
100 Fly,,,,,1:31,,,,,,,,,,,,,,1:13.31,,1:12.94,1:11.23,,,,,,1:10.72,,,,,,,,,,,1:08,1:05.56,1:04.13,,1:02.75,1:05.03,,1:05.7,1:02.00,1:02.82,1:03.50,1:02.48,,1:00.56,1:00.10,,,,,,1:01.96,,,,,,,,,,,1:01.19,,1:00.66,1:00.33,59.60,,59.34,58.75,59.5,,,59.87,58.37,58.53,58.24,57.89,1:00.10,59.00,,,,,,58.50,1:00.15,59.48,,,,,,,,,,,,,,1:02.06,1:01.40,,1:00.23,,1:01.0,1:02.58,,,1:01.03,1:00.88,59.64,,,1:02.03,,,,,1:02.69,1:04.73,,,,,58.90,59.20,,,
100 Back,,,,,,,,,,,,,,,,,,,,,,,1:21.38,1:19.85,,,1:22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:09.18,1:07.38,,,,,,,,,,,,,,,,,,,,,,,,1:08.46,,1:08.20,,1:06.84,1:06.64,1:04.85,1:03.77,,,,,1:06.40,...,,1:07.32,1:07.36,,,1:04.64,1:03.28,,,,,
100 Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Free,,,,,1:20,,1:20,,,,,,,,,1:18,,,,1:08.43,,,1:05.52,,,,,1:07.05,,,,,,,,,,,,,,,,,...,,,,,,,,,,,1:00.47,,,,59.45,,,,,,,,,,,58.78,57.88,1:00.09,59.?,,59.07,,,,58.25,,,,,,,,56.78,,,,56.10,,,,,,,,,,,,,,,,,,,58.28,58.89,,,,,,,,,,,,,56.18,,56.54,,,53.97,54.04,,,,,,,
100 Free (Relay Split),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.65,,59.68,,...,,,,,,,,,,,,,,,,,,,
200 IM,,,,,,,,,,,,,,,,,,,,,,,,,DQ,,,,,,,,,,,,,,,,,,,,,2:39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Fly,,,,,,,,,,,,,,,,,,,,,,,,,2:46.81,2:38.82,2:36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:14.01,2:14.44,,,,,,,
200 Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:24.32,2:22.03,,,,,,,,,,,,,,
200 Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Free,,,,,,,,,,,,,,,,,,,,,2:26.70,2:26.68,,,,,,2:25.45,,,,,,,,,,,2:18,2:19.14,,,,2:19.39,,,,,,,,2:19.88,,,,,,,2:15.66,,,,,,,,,,,,,2:10.78,,,,,,,,,,,,,,2:09.00,,,,,,,,2:06.17,2:06.61,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4x50 Free Relay,,,,,,,,,,2:23.31,,2:22.98,,,,,,,,,,,,,,,,,,,,,,,,,,1:51.90,,...,,,1:46.16,1:52.40,,,1:45.38,...,,,,...,,,,,,,,,,,,1:49.91,1:44.00,1:45,,1:44.78,,,1:50.?,,,,,,,,,,,1:46.19,,1:46.12,,,,,,,,,,,,,,,,,,1:37.77,,,,,...,1:35.63,,,,1:47.56,1:46.26,1:46.28,,,,,,,,,,,,,,,,,...,,,,,,...,
200 Medley Relay (Butterfly),,,,,,,,,,,2:19.43,2:09.20,,,,,,,,,,,,,,,,,,,,...,,,,,,,,...,...,...,1:58.91,2:05.59,,1:58.4,1:56.75,...,...,1:57.54,,,,,,,,,,,,,,2:06.14,,1:57,1:57,,,,,,,,,,,2:02,,,,2:03.03,2:01.93,2:02.53,,,,2:12.09,,,,,,,,,,,,,,,,,,,,1:48.41,2:06.?,,...,2:03.30,,2:01.51,2:01.14,,2:00.20,,...,,1:59.92,,,,,,,...,,,,,,,...,,,
200 Medley Relay (Free),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4x100 Free Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...,,...,,,,,,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4:23.78,,,4:29.??,,,4:13.03,,,,,,,,,,,,,,,,,,,,,
50 Fly LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.71,,,,,,,,,,,,,,,,,,,,,,,,,,30.03,,,,,,30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69,,,,31.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 Back LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.59,,,,,,,,,,,,,,,,,,,,,,,,,,40.28,,,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.70
50 Breast LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 Free LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.60,,29.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.40
100 Fly LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:11,,1:10.21,,,,1:10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Back LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Breast LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Free LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:13.16,,,,,,,,,,,,,,,,,,,,,,,,,,1:09.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:05.44,,,,1:06.07,,,1:06.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:05.18
200 IM LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:54.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Fly LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Back LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Breast LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 Free LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:28.99,,2:30.30,,,,2:39.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,